target;IDX;source
eng-cba79f89.flac;aspirin;aspirin
eng-3c940445.flac;as|well|as well as;as well as
eng-c407307d.flac;as|bottom;as the bottom of
eng-a80cb410.flac;soon|possible|(conversation);as soon as possible
eng-84e9b16b.flac;as|soon;as soon as
eng-3359f4f1.flac;as|if;as if
eng-f433689f.flac;as;as
eng-33f51dec.flac;arrive;arrive
eng-fe38f844.flac;appointment;appointment
eng-b6f237cb.flac;apply|makeup;apply makeup
eng-111438d6.flac;apologize;apologize
eng-3ea87bfb.flac;apartment|block;apartment block
eng-fe1db7ea.flac;antibiotic;antibiotic
eng-caebdb15.flac;answering|machine;answering machine
eng-0af06d8d.flac;anesthetic;anesthetic
eng-0f5f9c3d.flac;other;and other
eng-f6e4db04.flac;hour|half;an hour and a half
eng-f715dbc3.flac;almost;almost
eng-f7bb3b7f.flac;allergic;allergic
eng-f19c0f24.flac;all|week;all week
eng-ce19c2b2.flac;all|together;all together
eng-9cadeff6.flac;all|time;all the time
eng-0f6986f7.flac;all|same;all the same
eng-b58165a7.flac;all|better;all the better
eng-2a3e75e5.flac;all|best|(conversation);all the best!
eng-43f781c0.flac;all|kinds;all kinds
eng-5f10a415.flac;all|inclusive;all inclusive
eng-298a92fe.flac;all|day;all day
eng-01ff7e7c.flac;alarm|clock;alarm clock
eng-439eb7fe.flac;airport|tax;airport tax
eng-6c260646.flac;airmail;airmail
eng-ec141ef8.flac;airline;airline
eng-f2ad3254.flac;air|conditioning;air conditioning
eng-f3d2f44b.flac;agriculture;agriculture
eng-13974d16.flac;agricultural;agricultural
eng-8434910d.flac;after-sun;after-sun
eng-8fad2935.flac;affordable;affordable
eng-9d6a6a4c.flac;aerial;aerial
eng-f4bb024a.flac;admission;admission
eng-85f9c0e6.flac;adhesive|tape;adhesive tape
eng-9b1ec047.flac;addressee;addressee
eng-19dc647c.flac;adapter;adapter
eng-a945e1a0.flac;acknowledgment|receipt;acknowledgment of receipt
eng-e89a8617.flac;accommodations;accommodations
eng-2d385412.flac;accommodation;accommodation
eng-a6df7656.flac;absolute;absolute
eng-35cfee3c.flac;ability;ability
eng-895fdf5c.flac;abbey;abbey
eng-b1f73ff9.flac;while;a while
eng-fd7b1501.flac;time;a time
eng-2560a4b5.flac;sore|stomach;a sore stomach
eng-34506210.flac;quarter|ten;a quarter to ten
eng-f9336660.flac;quarter|past|ten;a quarter past ten
eng-3b5499b8.flac;quarter|hour;a quarter of an hour
eng-71bc55a5.flac;quarter|after;a quarter after ten
eng-dc8e47ec.flac;piece|fruit;a piece of fruit
eng-a32923ac.flac;piece|advice;a piece of advice
eng-198a7c9d.flac;piece;a piece of
eng-69cd764a.flac;pair|pyjamas;a pair of pyjamas
eng-482eab43.flac;lot;a lot of
eng-5e8041d0.flac;lot|more;a lot more
eng-47755b64.flac;long|time;a long time
eng-634a332b.flac;little|bit;a little bit
eng-1effdaf6.flac;little;a little
eng-8c3a5241.flac;kick;a kick
eng-86edcd0b.flac;groaning|sound;a groaning sound
eng-1ea6aa05.flac;glass|water;a glass of water
eng-58f3ca31.flac;few;a few
eng-6a467c5b.flac;bit;a bit
eng-d79cebb5.flac;X-rays;X-rays
eng-04cd7047.flac;United States;United States
eng-c58d700d.flac;United Kingdom;United Kingdom
eng-d5b41909.flac;U-turn;U-turn
eng-ed7e13b2.flac;Tupperware;Tupperware
eng-d057bc4d.flac;T-bar;T-bar
eng-fba5cca8.flac;Spanish;Spanish
eng-858edf3c.flac;Spain;Spain
eng-74dc1336.flac;Portuguese;Portuguese
eng-2ed900f8.flac;Portugal;Portugal
eng-d736d92d.flac;OK|(conversation);OK
eng-6da97d9c.flac;New Year;New Year
eng-bcdec84b.flac;Netherlands;Netherlands
eng-1ad5ed21.flac;Mister;Mister
eng-fd614e16.flac;Kleenex;Kleenex
eng-f3e12338.flac;Japanese;Japanese
eng-d5e6597a.flac;Japan;Japan
eng-de18b6ca.flac;Italy;Italy
eng-98045053.flac;Italian;Italian
eng-d24bb6b4.flac;matter|(conversation);It doesn't matter
eng-739cc283.flac;Internet|café|Internet café;Internet café
eng-85852207.flac;Internet;Internet
eng-28164d43.flac;just|arrive|(conversation);I've just arrived
eng-35c909e0.flac;very|well|(conversation);I'm very well
eng-4d252e48.flac;use|(conversation);I'm used to it
eng-34d4f136.flac;sorry|(conversation);I'm sorry
eng-9c095028.flac;use|(conversation);I'm not used to
eng-e056c094.flac;go|home|(conversation);I'm going home
eng-b3acb9b3.flac;fine|(conversation);I'm fine
eng-c5ce6727.flac;cold|(conversation);I'm cold
eng-daa3adbb.flac;be|year|old|(conversation);I'm 24 years old
eng-d7b1c0e9.flac;be|(conversation);I'm 24
eng-8669fc5a.flac;would|like|(conversation);I'd like
eng-4913186e.flac;must|go|(conversation);I must go
eng-041a673e.flac;miss|him|(conversation);I miss him
eng-aab7c7f7.flac;mind|(conversation);I don't mind
eng-d50b8cb7.flac;care|(conversation);I don't care
eng-d9bf9673.flac;can|not|(conversation);I can't
eng-dd0216b9.flac;I;I
eng-4c510d7f.flac;Hungary;Hungary
eng-c6acc967.flac;Holland;Holland
eng-1649d5fb.flac;happy|New Year|(conversation);Happy New Year!
eng-66d8cd84.flac;happy|Easter|(conversation);Happy Easter!
eng-11618b91.flac;Greece;Greece
eng-fe45bc6a.flac;Great Britain;Great Britain
eng-9515b8b7.flac;Germany;Germany
eng-a5984597.flac;German;German
eng-0127efe1.flac;French|loaf;French loaf
eng-a8d9cb68.flac;French;French
eng-590a2082.flac;France;France
